"trackingcode","trackingcode","event31","event95","event29","event30","event94","event38","event33","event32"
"em_5180820",NA,2,1,0,25,2,0,0,0
"em_5120934",NA,2,1,0,25,1,0,0,0
"em_5171686",NA,2,1,0,22,2,0,0,0
"em_4897668",NA,2,1,0,22,0,0,0,0
"em_5200615",NA,2,1,0,21,1,0,0,0
"em_5148328",NA,2,1,0,20,2,0,0,0
"em_4987985",NA,2,1,0,16,1,0,0,0
"em_5177770",NA,2,1,0,16,1,0,0,0
"em_4981252",NA,2,1,0,14,5,0,0,0
"em_5011977",NA,2,1,0,9,0,0,0,0
"em_4852896",NA,2,1,0,4,0,0,0,0
"em_5269672",NA,2,1,0,3,1,0,0,0
"em_5222577",NA,2,1,0,2,1,0,0,0
"em_5053330",NA,2,1,0,2,0,0,0,0
"em_5344632",NA,2,1,0,2,0,0,0,0
"em_5337403",NA,2,1,0,1,1,0,0,0
"em_5214167",NA,2,1,0,1,0,0,0,0
"em_4901293",NA,2,0,0,62,22,0,0,0
"em_5272808",NA,2,0,0,60,21,0,0,1
"em_5190860",NA,2,0,0,47,8,0,0,0
"em_4934731",NA,2,0,0,37,6,0,0,0
"em_4837439",NA,2,0,0,35,18,0,0,0
"em_5151616",NA,2,0,0,33,5,0,0,0
"em_4998177",NA,2,0,0,28,3,0,0,0
"em_5197392",NA,2,0,0,14,2,0,0,0
"em_5076216",NA,2,0,0,11,1,0,0,0
"em_5025607",NA,2,0,0,11,1,0,0,0
"em_5099758",NA,2,0,0,9,2,0,0,0
"em_4849712",NA,2,0,0,7,0,0,0,0
"em_4974218",NA,2,0,0,6,1,0,0,0
"em_5347812",NA,2,0,0,5,3,0,0,0
"em_5113794",NA,2,0,0,5,0,0,0,0
"em_5181247",NA,2,0,0,5,0,0,0,0
"em_5194022",NA,2,0,0,4,1,0,0,0
"em_5235057",NA,2,0,0,4,0,0,0,0
"em_4967857",NA,2,0,0,4,0,0,0,0
"em_4890930",NA,2,0,0,3,0,0,0,0
"em_5012080",NA,2,0,0,3,0,0,0,0
"em_5133860",NA,2,0,0,3,0,0,0,0
"em_5275850",NA,2,0,0,2,0,0,0,0
"em_5167934",NA,2,0,0,1,0,0,0,0
"em_5296094",NA,2,0,0,1,0,0,0,0
"em_5133841",NA,2,0,0,0,0,0,0,0
"em_5292105",NA,2,0,0,0,0,0,0,0
"em_5292879",NA,2,0,0,0,0,0,0,0
"em_5356039",NA,1,1,198,3,3,198,0,0
"em_5366992",NA,1,1,154,24,7,154,0,0
"em_5363226",NA,1,1,36,8,8,43,7,0
"em_5359301",NA,1,1,35,4,4,35,0,0
"em_5367418",NA,1,1,24,5,3,24,0,0
"em_5362880",NA,1,1,8,4,1,8,0,0
"em_5355499",NA,1,1,1,31,1,1,0,0
"em_5355256",NA,1,1,1,29,1,1,0,0
"em_5355260",NA,1,1,1,28,1,1,0,0
"em_5355249",NA,1,1,1,24,1,1,0,0
"em_5355306",NA,1,1,1,23,1,1,0,0
"em_5355254",NA,1,1,1,23,1,1,0,0
"em_5363111",NA,1,1,1,3,1,1,0,0
"em_5363106",NA,1,1,1,1,1,1,0,0
"em_5363116",NA,1,1,1,1,1,1,0,0
"em_5363102",NA,1,1,1,1,1,1,0,0
"em_5363118",NA,1,1,1,1,1,1,0,0
